Date,Open,High,Low,Close,Volume,RSI,SMA10,SMA20,SMA50,SMA200
2007-01-08,140.82,141.41,140.25,141.19,71655000,52.2718,141.506,141.7415,140.25459999999998,132.15685
2007-01-09,141.31,141.6,140.4,141.07,75680100,51.3893,141.451,141.737,140.309,132.21165
2007-01-10,140.58,141.57,140.3,141.54,72428000,54.6208,141.53000000000003,141.743,140.36419999999998,132.2683
2007-01-11,141.58,142.62,141.5,142.16,54476800,58.5367,141.588,141.7595,140.4492,132.329
2007-01-12,142.15,143.24,142.11,143.24,55370600,64.3136,141.661,141.8355,140.55780000000001,132.3991
2007-01-16,143.07,143.44,142.73,142.96,44871300,61.9055,141.736,141.89,140.6612,132.46375
2007-01-17,142.85,143.46,142.73,143.02,50241400,62.2318,141.876,141.885,140.78439999999998,132.52985
2007-01-18,143.17,143.26,142.31,142.54,68177300,57.9544,141.993,141.89499999999998,140.8996,132.5934
2007-01-19,142.54,143.1,142.46,142.82,56973000,59.6948,142.108,141.9385,141.0252,132.65884999999997
2007-01-22,143.07,143.1,141.93,142.38,60253600,55.7871,142.292,141.94650000000001,141.1112,132.71795
2007-01-23,142.26,143.08,142.06,142.8,54064400,58.5747,142.453,141.97949999999997,141.195,132.77689999999998
2007-01-24,142.97,143.98,142.91,143.95,55834700,65.0688,142.741,142.096,141.29579999999999,132.8423
2007-01-25,143.86,143.92,142.01,142.26,73583800,52.1341,142.813,142.17149999999998,141.3774,132.9059
2007-01-26,142.57,142.65,141.58,142.13,67255600,51.2896,142.81,142.199,141.4552,132.96785
2007-01-29,142.19,142.8,141.74,142.05,66114600,50.7448,142.691,142.176,141.5246,133.03490000000002
2007-01-30,142.35,142.86,142.06,142.79,70407600,55.458,142.674,142.20499999999998,141.588,133.10444999999999
2007-01-31,142.63,144.13,142.4,143.75,91868600,60.7105,142.747,142.3115,141.6626,133.17965
2007-02-01,144.15,144.66,143.91,144.61,69312400,64.7237,142.954,142.4735,141.7472,133.2594
2007-02-02,144.73,144.95,144.38,144.81,49607000,65.6036,143.153,142.6305,141.835,133.32995
2007-02-05,144.7,144.94,144.34,144.85,45705300,65.7875,143.4,142.846,141.922,133.39945
2007-02-06,144.97,145.03,144.33,144.89,57081300,65.9832,143.609,143.031,142.00699999999998,133.46824999999998
2007-02-07,145.12,145.36,144.57,145.21,55669700,67.5814,143.73499999999999,143.238,142.09279999999998,133.53855000000001
2007-02-08,144.78,145.12,144.27,145.02,70641000,65.6104,144.01100000000002,143.412,142.1862,133.6091
2007-02-09,145.06,145.33,143.39,143.94,79084400,55.6714,144.19199999999998,143.501,142.2966,133.67695
2007-02-12,143.94,144.04,143.19,143.45,65657000,51.8348,144.332,143.5115,142.3852,133.74220000000003
2007-02-13,143.77,144.9,143.76,144.66,64081800,59.2948,144.519,143.59650000000002,142.46900000000002,133.81035
2007-02-14,144.8,145.9,144.78,145.61,66039400,64.0082,144.70499999999998,143.726,142.57059999999998,133.88105
2007-02-15,145.67,145.95,145.43,145.8,38715200,64.884,144.824,143.889,142.68220000000002,133.95805000000001
2007-02-16,145.44,145.76,145.23,145.73,39841800,64.2635,144.916,144.0345,142.77100000000002,134.0298
2007-02-20,145.56,146.2,145.0,146.04,56911800,65.8221,145.035,144.2175,142.85379999999998,134.10555
2007-02-21,145.61,146.07,145.35,145.98,63971600,65.2291,145.144,144.37650000000002,142.9378,134.17865
2007-02-22,146.05,146.42,145.17,145.87,79067400,64.0892,145.21,144.4725,143.032,134.24540000000002
2007-02-23,145.74,145.79,145.03,145.3,71966200,58.3944,145.238,144.6245,143.1096,134.3101
2007-02-26,145.83,145.95,144.75,145.17,69192800,57.1471,145.36100000000002,144.7765,143.1764,134.37285
2007-02-27,143.88,144.2,139.0,139.5,274466500,28.5275,144.966,144.649,143.132,134.4076
2007-02-28,140.39,141.98,139.8,140.93,177536300,37.0852,144.593,144.55599999999998,143.1132,134.4575
2007-03-01,139.34,141.25,138.05,140.51,212828600,35.7319,144.083,144.39399999999998,143.061,134.51385
2007-03-02,140.05,140.66,138.66,138.67,162574000,30.4839,143.37,144.097,142.98760000000001,134.5597
2007-03-05,137.93,139.58,137.33,137.35,143750400,27.3774,142.53199999999998,143.724,142.8956,134.5999
2007-03-06,138.78,140.12,137.72,139.7,143333300,39.2473,141.898,143.4665,142.8452,134.66415
2007-03-07,139.59,140.46,139.4,139.56,115144900,38.84,141.256,143.2,142.7936,134.7309
2007-03-08,140.54,141.16,140.07,140.74,117891600,44.1051,140.743,142.9765,142.77599999999998,134.7991
2007-03-09,141.31,141.42,140.08,140.78,107765100,44.2802,140.291,142.7645,142.7766,134.87234999999998
2007-03-12,140.42,141.34,140.16,140.99,80366900,45.25,139.873,142.61700000000002,142.7648,134.95145
2007-03-13,140.18,140.77,138.04,138.25,190605200,36.3584,139.748,142.35700000000003,142.6796,135.01184999999998
2007-03-14,138.43,139.36,136.75,139.28,231853800,41.0479,139.58300000000003,142.088,142.62099999999998,135.06959999999998
2007-03-15,138.97,139.99,138.8,139.47,132435900,41.8985,139.47899999999998,141.781,142.578,135.12505000000002
2007-03-16,139.31,139.63,138.12,138.53,121531600,40.6076,139.465,141.4175,142.5212,135.1872
